name,mass,height
Luke Skywalker,77,172
C-3PO,75,167
Darth Vader,136,202
Owen Lars,120,178
Beru Whitesun Lars,75,165
Biggs Darklighter,84,183
Obi-Wan Kenobi,77,182
Anakin Skywalker,84,188
Chewbacca,112,228
Han Solo,80,180
Greedo,74,173
Jabba Desilijic Tiure,1358,175
Wedge Antilles,77,170
Jek Tono Porkins,110,180
Palpatine,75,170
Boba Fett,78.2,183
IG-88,140,200
Bossk,113,190
Lando Calrissian,79,177
Lobot,79,175
Ackbar,83,180
Nien Nunb,68,160
Qui-Gon Jinn,89,193
Nute Gunray,90,191
Jar Jar Binks,66,196
Roos Tarpals,82,224
Darth Maul,80,175
Ben Quadinaros,65,163
Mace Windu,84,188
Ki-Adi-Mundi,82,198
Kit Fisto,87,196
Plo Koon,80,188
Gregar Typho,85,185
Poggle the Lesser,80,183
Dooku,80,193
Jango Fett,79,183
Dexter Jettster,102,198
Lama Su,88,229
Grievous,159,216
Tarfful,136,234
Raymus Antilles,79,188
Tion Medon,80,206
